%time,field.left_wheels,field.right_wheels
1556907137116858983,0.375,0.375
1556907137184381882,0.5,0.5
1556907137252325633,0.625,0.625
1556907137320120345,0.75,0.75
1556907137387285563,0.875,0.875
1556907137456317068,1.0,1.0
1556907137527494798,1.125,1.125
1556907137595345466,1.25,1.25
1556907137663298901,1.375,1.375
1556907137731491004,1.5,1.5
1556907137799330358,1.625,1.625
1556907137867328049,1.75,1.75
1556907137935969747,1.875,1.875
1556907138003317780,2.0,2.0
1556907138071316973,2.125,2.125
1556907138139313634,2.25,2.25
1556907138207332406,2.375,2.375
1556907138275431059,2.5,2.5
1556907138343330793,2.625,2.625
1556907138411447802,2.75,2.75
1556907138479345797,2.875,2.875
1556907138547328717,3.0,3.0
1556907138615358042,3.125,3.125
1556907138683504580,3.25,3.25
1556907138751346089,3.375,3.375
1556907138819435641,3.5,3.5
1556907138887360454,3.625,3.625
1556907138955354974,3.75,3.75
1556907139023377918,3.875,3.875
1556907139091374073,4.0,4.0
1556907139159366651,4.125,4.125
1556907139227390878,4.25,4.25
1556907139295586325,4.375,4.375
1556907139363380025,4.5,4.5
1556907139431392313,4.625,4.625
1556907139499592382,4.75,4.75
1556907139567413584,4.875,4.875
1556907139635406148,5.0,5.0
1556907139704063971,5.125,5.125
1556907139775478701,5.25,5.25
1556907139843466575,5.375,5.375
1556907139912060926,5.5,5.5
1556907139983500799,5.625,5.625
1556907140051520853,5.75,5.75
1556907140120079209,5.875,5.875
1556907140191491745,6.0,6.0
1556907140259530158,6.125,6.125
1556907140328087191,6.25,6.25
1556907140399535886,6.375,6.375
1556907140467540620,6.5,6.5
1556907140536088501,6.625,6.625
1556907140607509457,6.75,6.75
1556907140675543073,6.875,6.875
1556907140744114303,7.0,7.0
1556907140815519219,7.125,7.125
1556907140883558946,7.25,7.25
1556907140952126967,7.375,7.375
1556907141023530999,7.5,7.5
1556907141091563449,7.625,7.625
1556907141160149465,7.75,7.75
1556907141231535870,7.875,7.875
1556907141299571297,8.0,8.0
1556907141368147535,8.125,8.125
1556907141439550120,8.25,8.25
1556907141507579074,8.375,8.375
1556907141579772519,8.5,8.5
1556907141647558735,8.625,8.625
1556907141715585061,8.75,8.75
1556907141784218327,8.875,8.875
1556907141855569723,9.0,9.0
1556907141923641979,9.125,9.125
