%time,field.left_wheels,field.right_wheels
1556908696531689168,0.5,0.5
1556908696610908040,0.625,0.625
1556908696690806933,0.75,0.75
1556908696770435966,0.875,0.875
1556908696849860445,1.0,1.0
1556908696930111953,1.125,1.125
1556908697009981874,1.25,1.25
1556908697090191019,1.375,1.375
1556908697169990424,1.5,1.5
1556908697249998141,1.625,1.625
1556908697329992618,1.75,1.75
1556908697410040632,1.875,1.875
1556908697490117694,2.0,2.0
1556908697570016725,2.125,2.125
1556908697650064533,2.25,2.25
1556908697730038779,2.375,2.375
1556908697810049796,2.5,2.5
1556908697890078209,2.625,2.625
1556908697970114877,2.75,2.75
1556908698050110831,2.875,2.875
1556908698130279633,3.0,3.0
1556908698210078911,3.125,3.125
1556908698290068311,3.25,3.25
1556908698370080867,3.375,3.375
1556908698450073394,3.5,3.5
1556908698530090462,3.625,3.625
1556908698610086342,3.75,3.75
1556908698690130660,3.875,3.875
1556908698770092331,4.0,4.0
1556908698850132605,4.125,4.125
1556908698930083801,4.25,4.25
1556908699010151245,4.375,4.375
1556908699090093762,4.5,4.5
1556908699170302305,4.625,4.625
1556908699250105410,4.75,4.75
1556908699330273309,4.875,4.875
1556908699410115919,5.0,5.0
1556908699490121412,5.125,5.125
1556908699570127466,5.25,5.25
1556908699650127603,5.375,5.375
1556908699730303436,5.5,5.5
1556908699810136123,5.625,5.625
1556908699890141268,5.75,5.75
1556908699974281579,5.875,5.875
1556908700054213977,6.0,6.0
1556908700134153276,6.125,6.125
1556908700214386157,6.25,6.25
1556908700294322502,6.375,6.375
1556908700374161069,6.5,6.5
1556908700454282599,6.625,6.625
1556908700535049684,6.75,6.75
1556908700614184898,6.875,6.875
1556908700694181513,7.0,7.0
1556908700774496602,7.125,7.125
1556908700854180903,7.25,7.25
1556908700934273215,7.375,7.375
1556908701014300881,7.5,7.5
1556908701094259624,7.625,7.625
1556908701174336700,7.75,7.75
1556908701254449872,7.875,7.875
1556908701334372215,8.0,8.0
1556908701414225077,8.125,8.125
1556908701494247394,8.25,8.25
1556908701574450989,8.375,8.375
1556908701654217633,8.5,8.5
1556908701734220223,8.625,8.625
1556908701814684069,8.75,8.75
1556908701894348725,8.875,8.875
1556908701974293955,9.0,9.0
1556908702054302195,9.125,9.125
1556908702134320142,9.25,9.25
1556908702214265728,9.375,9.375
1556908702294454336,9.5,9.5
1556908702374408282,9.625,9.625
1556908702454254098,9.75,9.75
1556908702534263225,9.875,9.875
1556908702614270247,10.0,10.0
1556908702694311211,9.875,9.875
1556908702774280090,9.75,9.75
1556908702854569522,9.625,9.625
1556908702934277189,9.5,9.5
1556908703014361477,9.375,9.375
1556908703094356363,9.25,9.25
1556908703174362635,9.125,9.125
1556908703254326618,9.0,9.0
1556908703334505168,8.875,8.875
1556908703414471199,8.75,8.75
1556908703494321553,8.625,8.625
1556908703574311641,8.5,8.5
1556908703654451144,8.375,8.375
1556908703734482429,8.25,8.25
1556908703814366659,8.125,8.125
1556908703894625676,8.0,8.0
1556908703974343529,7.875,7.875
1556908704054423304,7.75,7.75
1556908704134451969,7.625,7.625
1556908704214391340,7.5,7.5
1556908704294336741,7.375,7.375
1556908704374579613,7.25,7.25
1556908704454650933,7.125,7.125
1556908704534353949,7.0,7.0
1556908704614359968,6.875,6.875
1556908704694366144,6.75,6.75
1556908704774377335,6.625,6.625
1556908704854368556,6.5,6.5
1556908704934688628,6.375,6.375
1556908705014372212,6.25,6.25
1556908705094492495,6.125,6.125
1556908705174462175,6.0,6.0
1556908705254444987,5.875,5.875
1556908705334390546,5.75,5.75
1556908705414610868,5.625,5.625
1556908705494588722,5.5,5.5
1556908705575023095,5.375,5.375
1556908705654407250,5.25,5.25
1556908705734419334,5.125,5.125
1556908705814428198,5.0,5.0
1556908705894438932,4.875,4.875
1556908705978447907,4.75,4.75
1556908706058445962,4.625,4.625
1556908706138646339,4.5,4.5
1556908706218463473,4.375,4.375
1556908706298453621,4.25,4.25
1556908706378447666,4.125,4.125
1556908706458642172,4.0,4.0
1556908706538487769,3.875,3.875
1556908706618481212,3.75,3.75
1556908706698512246,3.625,3.625
1556908706778489698,3.5,3.5
1556908706858458786,3.375,3.375
1556908706938475056,3.25,3.25
1556908707018499418,3.125,3.125
1556908707098473226,3.0,3.0
1556908707178686633,2.875,2.875
1556908707258482411,2.75,2.75
1556908707338490247,2.625,2.625
1556908707418478077,2.5,2.5
1556908707498495665,2.375,2.375
1556908707578513566,2.25,2.25
1556908707658510004,2.125,2.125
1556908707738560901,2.0,2.0
1556908707818511857,1.875,1.875
1556908707898512745,1.75,1.75
1556908707978545704,1.625,1.625
1556908708058693052,1.5,1.5
1556908708138667693,1.375,1.375
1556908708218732556,1.25,1.25
1556908708298675887,1.125,1.125
1556908708378546447,1.0,1.0
1556908708458546869,0.875,0.875
1556908708538550559,0.75,0.75
1556908708618561412,0.625,0.625
1556908708698562978,0.5,0.5
1556908708778618133,0.375,0.375
1556908708858570159,0.25,0.25
1556908708938590602,0.125,0.125
1556908709018575627,0.0,0.0
1556908709098604848,-0.125,-0.125
1556908709178587274,-0.25,-0.25
1556908709258792815,-0.375,-0.375
1556908709338603671,-0.5,-0.5
1556908709418650196,-0.625,-0.625
1556908709498584949,-0.75,-0.75
1556908709582622196,-0.875,-0.875
1556908709662601120,-1.0,-1.0
1556908709742592622,-1.125,-1.125
1556908709822878191,-1.25,-1.25
1556908709902607731,-1.375,-1.375
1556908709982844956,-1.5,-1.5
1556908710062679441,-1.625,-1.625
1556908710146632746,-1.75,-1.75
1556908710226617484,-1.875,-1.875
1556908710310823720,-2.0,-2.0
1556908710394647384,-2.125,-2.125
1556908710474654613,-2.25,-2.25
1556908710554796879,-2.375,-2.375
1556908710635266248,-2.5,-2.5
1556908710714853404,-2.625,-2.625
1556908710794661186,-2.75,-2.75
1556908710878683959,-2.875,-2.875
1556908710958655731,-3.0,-3.0
1556908711042674489,-3.125,-3.125
1556908711122675531,-3.25,-3.25
1556908711206778074,-3.375,-3.375
1556908711290685960,-3.5,-3.5
1556908711370687664,-3.625,-3.625
1556908711454693453,-3.75,-3.75
1556908711538707624,-3.875,-3.875
1556908711618824441,-4.0,-4.0
1556908711698724571,-4.125,-4.125
1556908711782816692,-4.25,-4.25
1556908711866729040,-4.375,-4.375
1556908711948835413,-4.5,-4.5
1556908712030729660,-4.625,-4.625
1556908712111042084,-4.75,-4.75
1556908712194713534,-4.875,-4.875
1556908712274969326,-5.0,-5.0
1556908712359057080,-5.125,-5.125
1556908712442727066,-5.25,-5.25
1556908712522764660,-5.375,-5.375
1556908712602865368,-5.5,-5.5
1556908712686815218,-5.625,-5.625
1556908712770903417,-5.75,-5.75
1556908712854782117,-5.875,-5.875
1556908712934736022,-6.0,-6.0
1556908713018753324,-6.125,-6.125
1556908713102843921,-6.25,-6.25
1556908713187081817,-6.375,-6.375
1556908713270783079,-6.5,-6.5
1556908713354917127,-6.625,-6.625
1556908713438863217,-6.75,-6.75
1556908713523081321,-6.875,-6.875
1556908713607043237,-7.0,-7.0
1556908713690808265,-7.125,-7.125
1556908713775180597,-7.25,-7.25
1556908713858916341,-7.375,-7.375
1556908713943105151,-7.5,-7.5
1556908714026921747,-7.625,-7.625
1556908714110832624,-7.75,-7.75
1556908714194926396,-7.875,-7.875
1556908714278912504,-8.0,-8.0
1556908714362936290,-8.125,-8.125
1556908714446935958,-8.25,-8.25
1556908714530852023,-8.375,-8.375
1556908714615005007,-8.5,-8.5
1556908714698960273,-8.625,-8.625
1556908714782941324,-8.75,-8.75
1556908714867122578,-8.875,-8.875
1556908714950914809,-9.0,-9.0
1556908715034939485,-9.125,-9.125
1556908715118939754,-9.25,-9.25
1556908715203286839,-9.375,-9.375
1556908715287030473,-9.5,-9.5
1556908715370949845,-9.625,-9.625
1556908715454958808,-9.75,-9.75
1556908715539011500,-9.875,-9.875
1556908715622978614,-10.0,-10.0
1556908715707785918,-9.875,-9.875
1556908715794901714,-9.75,-9.75
1556908715879054816,-9.625,-9.625
1556908715962916423,-9.5,-9.5
1556908716046901257,-9.375,-9.375
1556908716131020629,-9.25,-9.25
1556908716214928331,-9.125,-9.125
1556908716299011955,-9.0,-9.0
1556908716383081608,-8.875,-8.875
1556908716467017512,-8.75,-8.75
1556908716551018749,-8.625,-8.625
1556908716634942370,-8.5,-8.5
1556908716719108528,-8.375,-8.375
1556908716803042851,-8.25,-8.25
1556908716887069865,-8.125,-8.125
1556908716971051696,-8.0,-8.0
1556908717055046384,-7.875,-7.875
1556908717139052255,-7.75,-7.75
1556908717223063731,-7.625,-7.625
1556908717307116043,-7.5,-7.5
1556908717391071507,-7.375,-7.375
1556908717479288618,-7.25,-7.25
1556908717566998375,-7.125,-7.125
1556908717655083858,-7.0,-7.0
1556908717738984353,-6.875,-6.875
1556908717822972959,-6.75,-6.75
1556908717906997518,-6.625,-6.625
1556908717995197488,-6.5,-6.5
1556908718079150179,-6.375,-6.375
1556908718163002981,-6.25,-6.25
1556908718247001013,-6.125,-6.125
1556908718331011030,-6.0,-6.0
1556908718419133739,-5.875,-5.875
1556908718507023983,-5.75,-5.75
1556908718595031952,-5.625,-5.625
1556908718679311441,-5.5,-5.5
1556908718763108740,-5.375,-5.375
1556908718851042680,-5.25,-5.25
1556908718939163402,-5.125,-5.125
1556908719031229859,-5.0,-5.0
1556908719115073635,-4.875,-4.875
1556908719199142022,-4.75,-4.75
1556908719287055889,-4.625,-4.625
1556908719375155269,-4.5,-4.5
1556908719463071398,-4.375,-4.375
1556908719547093022,-4.25,-4.25
1556908719635087896,-4.125,-4.125
1556908719723076723,-4.0,-4.0
1556908719811204794,-3.875,-3.875
1556908719899187128,-3.75,-3.75
1556908719983139868,-3.625,-3.625
1556908720067103177,-3.5,-3.5
1556908720155124211,-3.375,-3.375
1556908720243115100,-3.25,-3.25
1556908720331125860,-3.125,-3.125
1556908720415129786,-3.0,-3.0
1556908720499157992,-2.875,-2.875
1556908720587132036,-2.75,-2.75
1556908720675119735,-2.625,-2.625
1556908720763859723,-2.5,-2.5
1556908720851132750,-2.375,-2.375
1556908720935130477,-2.25,-2.25
1556908721027156537,-2.125,-2.125
1556908721115144089,-2.0,-2.0
1556908721203279152,-1.875,-1.875
1556908721291152968,-1.75,-1.75
1556908721380396386,-1.625,-1.625
1556908721471298815,-1.5,-1.5
1556908721559185112,-1.375,-1.375
1556908721651174713,-1.25,-1.25
1556908721739172669,-1.125,-1.125
1556908721827188001,-1.0,-1.0
1556908721911176757,-0.875,-0.875
1556908722003197282,-0.75,-0.75
1556908722091216949,-0.625,-0.625
1556908722179204097,-0.5,-0.5
1556908722267206235,-0.375,-0.375
1556908722355236364,-0.25,-0.25
1556908722439196670,-0.125,-0.125
1556908722531234153,0.0,0.0
1556908722619234760,0.125,0.125
1556908722707236430,0.25,0.25
1556908722791254102,0.375,0.375
1556908722879238736,0.5,0.5
1556908722971248465,0.625,0.625
1556908723063256404,0.75,0.75
1556908723151282113,0.875,0.875
1556908723239266487,1.0,1.0
1556908723327302634,1.125,1.125
1556908723411288623,1.25,1.25
1556908723499364442,1.375,1.375
1556908723587249838,1.5,1.5
1556908723675261900,1.625,1.625
1556908723759291446,1.75,1.75
1556908723847262913,1.875,1.875
1556908723935273525,2.0,2.0
1556908724031312526,2.125,2.125
1556908724127284656,2.25,2.25
1556908724223306572,2.375,2.375
1556908724323290350,2.5,2.5
1556908724423331955,2.625,2.625
1556908724519441022,2.75,2.75
1556908724655280281,2.875,2.875
1556908724803273921,3.0,3.0
1556908724951436347,3.125,3.125
1556908725099297045,3.25,3.25
1556908725247297461,3.375,3.375
1556908725395347997,3.5,3.5
1556908725543459699,3.625,3.625
1556908725691326016,3.75,3.75
1556908725840218671,3.875,3.875
1556908725991379178,4.0,4.0
1556908726139573133,4.125,4.125
1556908726287371713,4.25,4.25
1556908726435498721,4.375,4.375
1556908726583416608,4.5,4.5
1556908726731394167,4.625,4.625
1556908726879509220,4.75,4.75
1556908726959426755,4.875,4.875
1556908727035515801,5.0,5.0
1556908727111529911,5.125,5.125
1556908727187681387,5.25,5.25
1556908727263501820,5.375,5.375
1556908727339421269,5.5,5.5
1556908727415440032,5.625,5.625
1556908727491545365,5.75,5.75
1556908727567454786,5.875,5.875
1556908727643458393,6.0,6.0
1556908727719482017,6.125,6.125
1556908727795434152,6.25,6.25
1556908727871487067,6.375,6.375
1556908727947453736,6.5,6.5
1556908728023443099,6.625,6.625
1556908728099470223,6.75,6.75
1556908728175506050,6.875,6.875
1556908728251472801,7.0,7.0
1556908728327471074,7.125,7.125
1556908728403490199,7.25,7.25
1556908728479490454,7.375,7.375
1556908728555500547,7.5,7.5
1556908728631519778,7.625,7.625
1556908728707498356,7.75,7.75
1556908728783522098,7.875,7.875
1556908728860578991,8.0,8.0
1556908728939508203,8.125,8.125
1556908729015547207,8.25,8.25
1556908729091624468,8.375,8.375
1556908729167510463,8.5,8.5
1556908729243534319,8.625,8.625
1556908729319536686,8.75,8.75
1556908729395544195,8.875,8.875
1556908729471537054,9.0,9.0
1556908729547561552,9.125,9.125
1556908729623550511,9.25,9.25
1556908729699571144,9.375,9.375
1556908729775584515,9.5,9.5
1556908729851552926,9.625,9.625
