%time,field.left_wheels,field.right_wheels
1557275991643683476,0.375,0.375
1557275991739013997,0.5,0.5
1557275991832446605,0.625,0.625
1557275991923329416,0.75,0.75
1557275992011517672,0.875,0.875
1557275992099519248,1.0,1.0
1557275992199613177,1.125,1.125
1557275992291401017,1.25,1.25
1557275992384785617,1.375,1.375
1557275992480306486,1.5,1.5
1557275992567235313,1.625,1.625
1557275992656721305,1.75,1.75
1557275992748472754,1.875,1.875
1557275992851098213,2.0,2.0
1557275992947717568,2.125,2.125
1557275993050975179,2.25,2.25
1557275993148017682,2.375,2.375
1557275993252688469,2.5,2.5
1557275993351213502,2.625,2.625
1557275993447539367,2.75,2.75
1557275993551548039,2.875,2.875
1557275993651893749,3.0,3.0
1557275993751286647,3.125,3.125
1557275993852216728,3.25,3.25
1557275993951286908,3.375,3.375
1557275994051141166,3.5,3.5
1557275994148247757,3.625,3.625
1557275994251178035,3.75,3.75
1557275994351334399,3.875,3.875
1557275994452451572,4.0,4.0
1557275994547241053,4.125,4.125
1557275994651136413,4.25,4.25
1557275994751854721,4.375,4.375
1557275994846981839,4.5,4.5
1557275994950844145,4.625,4.625
1557275995051127399,4.75,4.75
1557275995148632780,4.875,4.875
1557275995251139672,5.0,5.0
1557275995351182581,4.875,4.875
1557275995451585894,4.75,4.75
1557275995547491587,4.625,4.625
1557275995651237624,4.5,4.5
1557275995751886343,4.375,4.375
1557275995851309899,4.25,4.25
1557275995948506590,4.125,4.125
1557275996051374747,4.0,4.0
1557275996148380311,3.875,3.875
1557275996251366000,3.75,3.75
1557275996348001308,3.625,3.625
1557275996451560978,3.5,3.5
1557275996547917616,3.375,3.375
1557275996651332710,3.25,3.25
1557275996752614359,3.125,3.125
1557275996847489996,3.0,3.0
1557275996951134918,2.875,2.875
1557275997047428062,2.75,2.75
1557275997159618898,2.625,2.625
1557275997255413694,2.5,2.5
1557275997356616119,2.375,2.375
1557275997447495208,2.25,2.25
1557275997551558386,2.125,2.125
1557275997652648988,2.0,2.0
1557275997751413563,1.875,1.875
1557275997851358735,1.75,1.75
1557275997951433398,1.625,1.625
1557275998051360164,1.5,1.5
1557275998151330336,1.375,1.375
1557275998251182218,1.25,1.25
1557275998352156200,1.125,1.125
1557275998455270373,1.0,1.0
1557275998560138054,0.875,0.875
1557275998655724763,0.75,0.75
1557275998760360554,0.625,0.625
