%time,field.left_wheels,field.right_wheels
1557275991644774831,0.0,0.0
1557275991739591101,0.0,0.0
1557275991830971367,0.0,0.0
1557275991924268866,0.0,0.0
1557275992012217987,0.0,0.0
1557275992100098384,0.0,0.0
1557275992200193993,0.0,0.0
1557275992291970764,0.0,0.0
1557275992382821191,0.0,0.0
1557275992478584485,0.0,0.0
1557275992567814059,0.0,0.0
1557275992655011640,0.0,0.0
1557275992746802419,0.0,0.0
1557275992838834522,0.0,0.0
1557275992948313391,0.0,0.0
1557275993038641265,0.0,0.0
1557275993148930321,0.0,0.0
1557275993238844214,0.0,0.0
1557275993342816286,0.786282760378,0.13104712673
1557275993448182741,1.19263247555,1.19263247555
1557275993538754853,1.44395789899,-8601.65720429
1557275993638896180,1.45701662165,1.45701662165
1557275993743510993,1.63046521898,-8217.92096487
1557275993838597389,1.84007108508,1.70863743615
1557275993938547153,1.97101008295,1.83960941076
1557275994042708235,2.10109247519,1.96977419549
1557275994146625193,2.23465257031,1.97175226792
1557275994242634847,2.35413467318,2.22334941355
1557275994342690353,2.5057306582,2.24196953628
1557275994450962801,2.59786045598,2.33807441039
1557275994547527777,2.74546187593,2.61472559612
1557275994642744014,2.92235000958,2.78951591823
1557275994752143643,3.00806097128,3.00806097128
1557275994847267438,3.16353982838,3.03172566886
1557275994934756841,3.21123663873,3.07743511212
1557275995042966209,3.39893105596,3.26820293843
1557275995148931305,3.49627760943,3.37141055195
1557275995242745459,3.53937957727,3.67046770976
1557275995338751243,3.73951429067,3.73951429067
1557275995451671007,3.82887617575,3.69684596279
1557275995547578594,3.81708524742,3.81708524742
1557275995642898365,3.54626034816,3.67760332402
1557275995751968408,3.66450459273,3.5336294287
1557275995842696230,3.40062915471,3.26983572568
1557275995947021990,3.27761370242,3.27761370242
1557275996042804341,3.14749452248,3.01634891738
1557275996146623186,3.15559566659,2.89262936104
1557275996242833214,3.09759282947,2.81599348134
1557275996348087169,2.88664935936,2.62422669033
1557275996438876142,2.75371276352,2.49145440509
1557275996548118202,2.60642810477,2.3457852943
1557275996642791337,2.49692586553,2.23409156389
1557275996750877313,2.35796311105,2.22696516044
1557275996847571069,16.3336471454,1.97584441275
1557275996942791781,2.10307039274,1.9716284932
1557275997047580303,1.97323831593,1.71013987381
1557275997159701320,1.71196790433,1.71196790433
1557275997255495007,1.5728608353,1.5728608353
1557275997354757323,1.44567939294,1.31425399358
1557275997447579026,1.32842518722,1.19558266849
1557275997538914302,1.24468812809,1.10638944719
1557275997639039894,1.050678024,0.919343270998
1557275997739680575,0.995849139679,0.871367997219
1557275997838893675,0.654171380748,0.654171380748
1557275997942905092,0.656097709634,0.524878167707
1557275998042885010,0.394523779116,0.526031705488
1557275998142802426,0.0,0.0
1557275998242965424,0.0,0.0
1557275998352239528,0.0,0.0
1557275998455352238,0.0,0.0
1557275998560221338,0.0,0.0
1557275998655814852,0.0,0.0
1557275998758899973,0.0,0.0
1557275998855912181,0.0,0.0
1557275998951822640,0.0,0.0
1557275999051767882,0.0,0.0
1557275999155829239,0.0,0.0
1557275999253179328,0.0,0.0
1557275999347522398,0.0,0.0
1557275999442819682,0.0,0.0
1557275999552000248,0.0,0.0
1557275999659600415,0.0,0.0
1557275999763407841,0.0,0.0
1557275999859172572,0.0,0.0
1557275999968154903,0.0,0.0
1557276000067375748,0.0,0.0
1557276000166812336,0.0,0.0
1557276000267004143,0.0,0.0
1557276000375527763,-0.38780306447,-0.775606128941
1557276000471849416,-1.18587965543,-1.18587965543
1557276000575645575,-1.44070705643,-1.44070705643
1557276000667692207,-1.56912927276,-1.69989004549
1557276000765256955,-1.72216217983,-1.72216217983
1557276000873305152,-1.81552987075,-1.93656519547
1557276000988080466,-1.95287681447,-1.95287681447
1557276001089335039,-2.05724376941,-2.29927244816
1557276001197517827,-2.10691263401,8119.91735545
1557276001311825170,-2.23423178909,-2.4970825878
1557276001413236401,-2.46660600682,8079.86129655
1557276001531964290,-2.49990637173,-2.76305441086
1557276001636253158,-2.6202868728,-2.88231556008
1557276001743280879,-2.70394076492,-3.09021801706
1557276001867897300,-2.83062816425,-3.10021179894
1557276001980021793,-3.03306186928,-3.29680637965
1557276002095941770,-3.07429264364,-3.34162243874
1557276002191912319,-3.31643525112,-3.44909266116
1557276002312041812,-3.45653658996,-3.58948030496
1557276002439904979,-3.55205212716,-3.68360961335
1557276002560011650,-3.68060423345,-3.81205438464
1557276002687837471,-3.94399972797,-3.94399972797
