%time,field.left_wheels,field.right_wheels
1557326449405877708,-5.0,-5.0
1557326449493042970,-5.0,-5.0
1557326449585054998,-5.0,-5.0
1557326449672937726,-5.0,-5.0
1557326449760754657,-5.0,-5.0
1557326449848299242,-5.0,-5.0
1557326449943140015,-5.0,-5.0
1557326450043066338,-5.0,-5.0
1557326450142927309,-5.0,-5.0
1557326450242932774,-5.0,-5.0
1557326450342950643,-5.0,-5.0
1557326450442974407,-5.0,-5.0
1557326450543037919,-5.0,-5.0
1557326450642987447,-5.0,-5.0
1557326450743216053,-5.0,-5.0
1557326450842961864,-5.0,-5.0
1557326450942995843,-5.0,-5.0
1557326451043011984,-5.0,-5.0
1557326451142984755,-5.0,-5.0
1557326451243052325,-5.0,-5.0
1557326451343025102,-5.0,-5.0
1557326451443034827,-5.0,-5.0
1557326451543327711,-5.0,-5.0
1557326451643011725,-5.0,-5.0
1557326451743068103,-5.0,-5.0
1557326451843150710,-5.0,-5.0
1557326451943253917,-5.0,-5.0
1557326452043312344,-5.0,-5.0
1557326452143036701,-5.0,-5.0
1557326452243069707,-5.0,-5.0
1557326452343161508,-5.0,-5.0
1557326452443141472,-5.0,-5.0
1557326452543255029,-5.0,-5.0
1557326452643189318,-5.0,-5.0
1557326452743045592,-5.0,-5.0
1557326452843065210,-5.0,-5.0
1557326452943055661,-5.0,-5.0
1557326453043068635,-5.0,-5.0
1557326453143140172,-5.0,-5.0
1557326453243090248,-5.0,-5.0
1557326453343180248,-5.0,-5.0
1557326453443079260,-5.0,-5.0
1557326453543114071,-5.0,-5.0
1557326453643131842,-5.0,-5.0
1557326453743195411,-5.0,-5.0
1557326453843209260,-5.0,-5.0
1557326453943184523,5.0,5.0
1557326454043210304,5.0,5.0
1557326454143545741,5.0,5.0
1557326454243205791,5.0,5.0
1557326454343213265,5.0,5.0
1557326454443270230,5.0,5.0
1557326454543382830,5.0,5.0
1557326454643357563,5.0,5.0
1557326454743177866,5.0,5.0
1557326454843220074,5.0,5.0
