%time,field.left_wheels,field.right_wheels
1557326449404797633,0.0,0.0
1557326449492467077,0.0,0.0
1557326449584476284,0.0,0.0
1557326449672317105,-0.260561725172,-0.130280862586
1557326449760170557,-2.08553164535,-1.69449446185
1557326449847107529,-3.53385030605,-3.40296696138
1557326449935066016,-4.60653745229,-4.73815280807
1557326450031053029,-5.01398711465,-5.14593414399
1557326450131054984,-5.12398311191,-5.25536729427
1557326450231212554,-5.08379985444,-5.21415369686
1557326450331096999,-4.98415675267,-5.24648079229
1557326450431166608,-5.10221855759,-5.36387079132
1557326450531195189,-5.104769527,-5.23566105333
1557326450631073794,-5.12559057496,-5.12559057496
1557326450731080609,-5.12687775127,-5.25833615515
1557326450831119443,-5.20330033738,-5.20330033738
1557326450931159054,-5.10636495565,-5.23729739041
1557326451031130227,-4.99353832584,-5.25635613246
1557326451131115801,-5.15372664579,-5.28587348286
1557326451231381349,-4.97046077926,-5.23206397817
1557326451331135284,-5.07764543341,-5.3448899299
1557326451431114189,-4.99228568157,-5.12366162056
1557326451531211504,-4.96456950977,-5.35650920791
1557326451631329831,-5.08950185857,-5.22000190623
1557326451731418461,-4.92250227183,-5.31112087224
1557326451831133503,-5.04034292514,-5.30562413173
1557326451931142167,-5.16872828039,-5.30125977476
1557326452031201159,-5.104769527,-5.23566105333
1557326452135224960,-5.10860046994,-5.23959022558
1557326452231315472,-5.20023661081,-5.20023661081
1557326452331302717,-5.0740099544,-5.33421559309
1557326452431154365,-5.01114569707,-5.27489020744
1557326452531158282,-4.99479218277,-5.25767598186
1557326452631162634,-4.88296318819,-5.1469071443
1557326452731169534,-4.86243458023,-5.25668603269
1557326452831241204,-5.10668427999,-5.23762490256
1557326452931185012,-5.12591230844,-5.38877960631
1557326453031260742,-5.11083794246,-5.24188506919
1557326453131187141,-5.14334187735,-5.27522243831
1557326453231193841,-5.12526888187,-5.25668603269
1557326453331222370,-5.11756213515,-5.24878167707
1557326453431203161,-5.08218532324,-5.21592704228
1557326453531260195,-5.13719547316,-5.26891843401
1557326453631273796,-5.11628022857,-5.24746690109
1557326453731258083,-5.02221371891,-5.28654075675
1557326453831532317,-4.97232387289,-5.23402512936
1557326453931337847,-4.89870548119,-5.29589781751
1557326454031291193,-5.12301875886,-5.38573766957
1557326454131354770,2.48305939662,2.09099738662
1557326454231456342,3.64809113475,3.38751319656
1557326454331503679,3.76946942441,3.50950601583
1557326454435481518,3.7757966088,3.51539684268
1557326454535285063,3.84462960001,3.71205616552
1557326454635306777,3.73284950932,3.59953345541
1557326454735343600,3.66519142591,3.66519142591
1557326454835349575,3.79561699538,3.53385030605
1557326454935441692,3.7816735453,3.65127100925
1557326455035421135,3.77955554904,-8537.62499678
1557326455135332605,3.68893909737,3.82068692227
1557326455235328410,3.8115758191,3.68014217016
1557326455339313406,3.68014217016,3.68014217016
1557326455427327230,3.67921882151,3.67921882151
1557326455531327550,3.81085819604,3.67944929273
1557326455631668882,3.7466820846,3.7466820846
1557326455731328697,3.8110973737,3.67968022288
1557326455831424516,3.92650034005,3.66473365071
1557326455931337360,3.94177280278,3.67898794926
1557326456035343760,3.94251452451,3.54826307206
1557326456135422434,3.82405456335,3.69219061289
1557326456239406750,3.92969266919,3.53672340227
1557326456331380340,3.82742814629,3.69544786538
