%time,field.left_wheels,field.right_wheels
1557359707505025939,1491.0,1491.0
1557359707588527812,1488.0,1488.0
1557359707672291381,1485.0,1485.0
1557359707755718850,1482.0,1482.0
1557359707850568205,1479.0,1479.0
1557359707950673977,1475.0,1475.0
1557359708049963643,1472.0,1472.0
1557359708149979410,1469.0,1469.0
1557359708250149609,1466.0,1466.0
1557359708350005636,1463.0,1463.0
1557359708450096554,1460.0,1460.0
1557359708550093288,1457.0,1457.0
1557359708650076095,1454.0,1454.0
1557359708750174196,1450.0,1450.0
1557359708850000152,1447.0,1447.0
1557359708950017511,1444.0,1444.0
1557359709050116304,1441.0,1441.0
1557359709150314870,1438.0,1438.0
1557359709250093867,1435.0,1435.0
1557359709350158088,1432.0,1432.0
1557359709450055760,1429.0,1429.0
1557359709550129069,1425.0,1425.0
1557359709650379771,1422.0,1422.0
1557359709750123463,1419.0,1419.0
1557359709850074798,1416.0,1416.0
1557359709950016697,1413.0,1413.0
1557359710050112546,1410.0,1410.0
1557359710150004038,1407.0,1407.0
1557359710250065142,1404.0,1404.0
1557359710350003642,1400.0,1400.0
1557359710449997870,1397.0,1397.0
1557359710550031759,1394.0,1394.0
1557359710650005896,1391.0,1391.0
1557359710750020890,1388.0,1388.0
1557359710850034530,1385.0,1385.0
1557359710950051847,1382.0,1382.0
1557359711050134678,1379.0,1379.0
1557359711150146788,1375.0,1375.0
1557359711250113447,1372.0,1372.0
1557359711350213654,1369.0,1369.0
1557359711450041337,1366.0,1366.0
1557359711550081789,1363.0,1363.0
1557359711650198269,1360.0,1360.0
1557359711750370899,1357.0,1357.0
1557359711850179005,1354.0,1354.0
1557359711950315521,1350.0,1350.0
1557359712050138315,1347.0,1347.0
1557359712150219801,1344.0,1344.0
1557359712250542840,1341.0,1341.0
1557359712350185905,1338.0,1338.0
1557359712450143660,1335.0,1335.0
1557359712550084432,1332.0,1332.0
1557359712650167838,1329.0,1329.0
1557359712750077958,1325.0,1325.0
1557359712850121982,1322.0,1322.0
1557359712950068996,1319.0,1319.0
1557359713050067134,1316.0,1316.0
1557359713150069775,1313.0,1313.0
1557359713250065493,1310.0,1310.0
1557359713350129803,1307.0,1307.0
1557359713450099876,1304.0,1304.0
1557359713550103925,1300.0,1300.0
1557359713650199802,1297.0,1297.0
1557359713750195581,1294.0,1294.0
1557359713850177637,1291.0,1291.0
1557359713950275992,1288.0,1288.0
1557359714050099424,1285.0,1285.0
1557359714150107291,1282.0,1282.0
1557359714250209348,1279.0,1279.0
1557359714350383013,1275.0,1275.0
1557359714450185026,1272.0,1272.0
1557359714550262185,1269.0,1269.0
1557359714650150823,1266.0,1266.0
1557359714750247697,1263.0,1263.0
1557359714850481529,1260.0,1260.0
1557359714950213033,1257.0,1257.0
1557359715050229608,1254.0,1254.0
1557359715150114120,1250.0,1250.0
1557359715250209567,1247.0,1247.0
1557359715350095924,1244.0,1244.0
1557359715450157376,1241.0,1241.0
1557359715550094404,1238.0,1238.0
1557359715650096345,1235.0,1235.0
1557359715750102276,1232.0,1232.0
1557359715850109630,1229.0,1229.0
1557359715950137782,1225.0,1225.0
1557359716050160702,1222.0,1222.0
1557359716150183663,1219.0,1219.0
1557359716250251818,1216.0,1216.0
1557359716350254148,1213.0,1213.0
1557359716450227927,1210.0,1210.0
1557359716550308141,1207.0,1207.0
1557359716650129678,1204.0,1204.0
1557359716750140452,1200.0,1200.0
1557359716850232484,1197.0,1197.0
1557359716950368455,1194.0,1194.0
1557359717050219207,1191.0,1191.0
1557359717150290013,1188.0,1188.0
1557359717250176221,1185.0,1185.0
1557359717350253785,1182.0,1182.0
1557359717450502062,1179.0,1179.0
1557359717550269662,1175.0,1175.0
1557359717650277741,1172.0,1172.0
1557359717750141457,1169.0,1169.0
1557359717850227374,1166.0,1166.0
1557359717950123981,1163.0,1163.0
1557359718050177703,1160.0,1160.0
1557359718150168534,1157.0,1157.0
1557359718250124014,1154.0,1154.0
1557359718350127254,1150.0,1150.0
1557359718450120999,1147.0,1147.0
1557359718550145938,1144.0,1144.0
1557359718650298839,1141.0,1141.0
1557359718750163664,1144.0,1144.0
1557359718850263463,1147.0,1147.0
1557359718950276076,1150.0,1150.0
1557359719050236358,1154.0,1154.0
1557359719150341594,1157.0,1157.0
1557359719250157735,1160.0,1160.0
1557359719350201103,1163.0,1163.0
1557359719450266812,1166.0,1166.0
1557359719550394773,1169.0,1169.0
1557359719650250668,1172.0,1172.0
1557359719750319272,1175.0,1175.0
1557359719850224970,1179.0,1179.0
1557359719950288846,1182.0,1182.0
1557359720050538102,1185.0,1185.0
1557359720150273332,1188.0,1188.0
1557359720250312365,1191.0,1191.0
1557359720350243772,1194.0,1194.0
1557359720450279466,1197.0,1197.0
1557359720550180189,1200.0,1200.0
1557359720650231902,1204.0,1204.0
1557359720750172561,1207.0,1207.0
1557359720850325934,1210.0,1210.0
1557359720950156075,1213.0,1213.0
1557359721050215210,1216.0,1216.0
1557359721150177072,1219.0,1219.0
1557359721250185722,1222.0,1222.0
1557359721350194077,1225.0,1225.0
1557359721450288699,1229.0,1229.0
1557359721550279893,1232.0,1232.0
1557359721650262726,1235.0,1235.0
1557359721750418840,1238.0,1238.0
1557359721850191962,1241.0,1241.0
1557359721950197420,1244.0,1244.0
1557359722050559162,1247.0,1247.0
1557359722150191795,1250.0,1250.0
1557359722250271517,1254.0,1254.0
1557359722350349635,1257.0,1257.0
1557359722450237727,1260.0,1260.0
1557359722550309968,1263.0,1263.0
1557359722650563730,1266.0,1266.0
1557359722750295210,1269.0,1269.0
1557359722850257311,1272.0,1272.0
1557359722950204361,1275.0,1275.0
1557359723050288777,1279.0,1279.0
1557359723150212449,1282.0,1282.0
1557359723250242539,1285.0,1285.0
1557359723350182298,1288.0,1288.0
1557359723450184677,1291.0,1291.0
1557359723550197389,1294.0,1294.0
1557359723650245579,1297.0,1297.0
1557359723750197354,1300.0,1300.0
1557359723850214444,1304.0,1304.0
1557359723950223304,1307.0,1307.0
1557359724050317959,1310.0,1310.0
1557359724150313930,1313.0,1313.0
1557359724250295387,1316.0,1316.0
1557359724350407334,1319.0,1319.0
1557359724450244228,1322.0,1322.0
1557359724550276671,1325.0,1325.0
1557359724650561450,1329.0,1329.0
1557359724750239574,1332.0,1332.0
1557359724850326770,1335.0,1335.0
1557359724950388605,1338.0,1338.0
1557359725050283382,1341.0,1341.0
1557359725150343379,1344.0,1344.0
1557359725250592769,1347.0,1347.0
1557359725350331072,1350.0,1350.0
1557359725450328025,1354.0,1354.0
1557359725550227206,1357.0,1357.0
1557359725650316003,1360.0,1360.0
1557359725750210961,1363.0,1363.0
1557359725850270041,1366.0,1366.0
1557359725950247180,1369.0,1369.0
1557359726050212035,1372.0,1372.0
1557359726150219261,1375.0,1375.0
1557359726250278098,1379.0,1379.0
1557359726350234243,1382.0,1382.0
1557359726450240434,1385.0,1385.0
1557359726550258496,1388.0,1388.0
1557359726650349193,1391.0,1391.0
1557359726750347683,1394.0,1394.0
1557359726850355694,1397.0,1397.0
1557359726950435557,1400.0,1400.0
1557359727050305486,1404.0,1404.0
1557359727150257223,1407.0,1407.0
1557359727250570128,1410.0,1410.0
1557359727350275366,1413.0,1413.0
1557359727450334729,1416.0,1416.0
1557359727550396984,1419.0,1419.0
1557359727650294851,1422.0,1422.0
1557359727750379106,1425.0,1425.0
1557359727850621605,1429.0,1429.0
1557359727950351741,1432.0,1432.0
1557359728050317426,1435.0,1435.0
1557359728150280526,1438.0,1438.0
1557359728250349151,1441.0,1441.0
1557359728350244914,1444.0,1444.0
1557359728450305053,1447.0,1447.0
1557359728550239351,1450.0,1450.0
1557359728650239444,1454.0,1454.0
1557359728750293472,1457.0,1457.0
1557359728850265910,1460.0,1460.0
1557359728950295128,1463.0,1463.0
1557359729050299426,1466.0,1466.0
1557359729150306773,1469.0,1469.0
1557359729250398287,1472.0,1472.0
1557359729350541092,1475.0,1475.0
1557359729450358448,1479.0,1479.0
1557359729550465712,1482.0,1482.0
1557359729650324637,1485.0,1485.0
1557359729750317266,1488.0,1488.0
1557359729850596980,1491.0,1491.0
1557359729950282251,1494.0,1494.0
1557359730050365326,1497.0,1497.0
1557359730150465355,1500.0,1500.0
1557359730250335049,1504.0,1504.0
1557359730350401592,1507.0,1507.0
1557359730450645085,1510.0,1510.0
1557359730550382812,1513.0,1513.0
1557359730650346550,1516.0,1516.0
1557359730750326366,1519.0,1519.0
1557359730850374989,1522.0,1522.0
1557359730950271606,1525.0,1525.0
1557359731050324474,1529.0,1529.0
1557359731150268352,1532.0,1532.0
1557359731250442118,1535.0,1535.0
1557359731350277992,1538.0,1538.0
1557359731450268574,1541.0,1541.0
1557359731550320977,1544.0,1544.0
1557359731650303734,1547.0,1547.0
1557359731750311632,1550.0,1550.0
1557359731850401281,1554.0,1554.0
1557359731950416262,1557.0,1557.0
1557359732050421969,1560.0,1560.0
1557359732150535186,1563.0,1563.0
1557359732250351315,1566.0,1566.0
1557359732350312321,1569.0,1569.0
1557359732450655075,1572.0,1572.0
1557359732550320693,1575.0,1575.0
1557359732650396414,1579.0,1579.0
1557359732750428071,1582.0,1582.0
1557359732850376646,1585.0,1585.0
1557359732950474979,1588.0,1588.0
1557359733050744356,1591.0,1591.0
1557359733150441028,1594.0,1594.0
1557359733250405134,1597.0,1597.0
1557359733350341980,1600.0,1600.0
1557359733450545121,1604.0,1604.0
