%time,field.left_wheels,field.right_wheels
1557787016332031924,-5.0,-5.0
1557787016414710812,-5.0,-5.0
1557787016513598504,-5.0,-5.0
1557787016613584029,-5.0,-5.0
1557787016713581032,-5.0,-5.0
1557787016813078314,-5.0,-5.0
1557787016913079649,-5.0,-5.0
1557787017012726800,-5.0,-5.0
1557787017112691534,-5.0,-5.0
1557787017212625598,-5.0,-5.0
1557787017312817841,-5.0,-5.0
1557787017412447077,-5.0,-5.0
1557787017512671848,-5.0,-5.0
1557787017612402437,-5.0,-5.0
1557787017712453556,-5.0,-5.0
1557787017812450763,-5.0,-5.0
1557787017912468125,-5.0,-5.0
1557787018012465716,-5.0,-5.0
1557787018112890854,-5.0,-5.0
1557787018212396876,-5.0,-5.0
1557787018312398325,-5.0,-5.0
1557787018412397664,-5.0,-5.0
1557787018512398802,-5.0,-5.0
1557787018612397440,-5.0,-5.0
1557787018712398168,-5.0,-5.0
1557787018812450098,-5.0,-5.0
1557787018912394116,-5.0,-5.0
1557787019012387710,-5.0,-5.0
1557787019112391284,-5.0,-5.0
1557787019212391303,-5.0,-5.0
1557787019312414515,-5.0,-5.0
1557787019412440005,-5.0,-5.0
1557787019512513625,-5.0,-5.0
1557787019612648031,-5.0,-5.0
1557787019712704515,-5.0,-5.0
1557787019812652952,-5.0,-5.0
1557787019912788599,-5.0,-5.0
1557787020012518475,-5.0,-5.0
1557787020112676440,-5.0,-5.0
1557787020212406867,-5.0,-5.0
1557787020312407627,-5.0,-5.0
1557787020412460807,-5.0,-5.0
1557787020512468703,-5.0,-5.0
1557787020612467879,-5.0,-5.0
1557787020712870225,-5.0,-5.0
1557787020812400588,-5.0,-5.0
1557787020912454445,5.0,5.0
1557787021012407795,5.0,5.0
1557787021112424583,5.0,5.0
1557787021212458346,5.0,5.0
1557787021312481573,5.0,5.0
1557787021412415736,5.0,5.0
1557787021512419295,5.0,5.0
1557787021612424954,5.0,5.0
1557787021712418071,5.0,5.0
1557787021812410681,5.0,5.0
1557787021912427884,5.0,5.0
1557787022012439744,5.0,5.0
1557787022112450726,5.0,5.0
1557787022212588426,5.0,5.0
1557787022312694475,5.0,5.0
1557787022412598015,5.0,5.0
1557787022512743442,5.0,5.0
1557787022612475749,5.0,5.0
1557787022712649314,5.0,5.0
1557787022812387960,5.0,5.0
1557787022912383378,5.0,5.0
