%time,field.left_wheels,field.right_wheels
1557787016330415665,0.0,0.0
1557787016413998682,0.0,0.0
1557787016496692823,-0.176489023093,-0.176489023093
1557787016592959535,-0.684778576329,-1.19836250858
1557787016692773457,-2.83817417204,-3.19294594354
1557787016796821668,-4.96344172532,-4.96344172532
1557787016897015609,-5.78703271661,-5.95723956121
1557787016996541178,-5.95944741025,-6.13472527526
1557787017096739309,-6.02877137022,-6.2010219808
1557787017196518127,-5.7870752295,-6.48853889368
1557787017296522103,-5.96643778493,-6.31740471346
1557787017396555522,-5.99020996033,-6.35325298822
1557787017496556503,-5.94799845036,-6.29788071215
1557787017596561508,-5.94551522391,-6.12038331873
1557787017696916787,-5.94419663971,-6.11403082941
1557787017796522345,-5.96493853378,-6.14037790242
1557787017896514711,-5.96393960659,-6.13934959502
1557787017996544531,-5.96443879572,-6.31528813665
1557787018096518455,-5.9940602752,-6.34665205609
1557787018196514375,-5.96443879572,-6.31528813665
1557787018296516305,-5.78949916513,-6.31581727106
1557787018396571672,-5.76054707196,-6.10967113692
1557787018496515745,-5.78949916513,-6.31581727106
1557787018596553746,-5.95247339648,-6.12754614343
1557787018696516233,-6.14089242486,-6.31634649414
1557787018796516107,-6.15739893979,-6.33332462379
1557787018896541863,-6.19329446773,-6.37024573824
1557787018996516553,-6.05883050006,-6.23703139712
1557787019096516882,-6.04032902221,-6.3956424941
1557787019196640486,-6.0852363532,-6.264213893
1557787019296817549,-5.99083293301,-6.50433289869
1557787019396664127,-5.98901920966,-6.16516683347
1557787019496866070,-5.96014556452,-6.30072531106
1557787019596579983,-5.94551522391,-6.29525141355
1557787019700600043,-6.10916183279,-6.28370931373
1557787019796549069,-5.96344003589,-6.13883533107
1557787019896540409,-5.96643778493,-6.31740471346
1557787019996546071,-6.15945317046,-6.15945317046
1557787020096548132,-6.13780706159,-6.31317297763
1557787020196549546,-5.97144135824,-6.49833324279
1557787020296959008,-6.10116765006,-6.27064452923
1557787020396530133,-5.96543835558,-6.31634649414
1557787020496534818,-5.96693785803,-6.31793420262
1557787020596551154,-5.80847477973,-6.33651794153
1557787020696524486,-5.96344003589,-6.31423062624
1557787020796529753,-6.13780706159,-6.13780706159
1557787020896584418,-6.10814347923,-6.28266186435
1557787020996538642,-5.96393960659,-6.31475958345
1557787021096529220,3.68484422012,3.68484422012
1557787021196525141,5.7870752295,5.7870752295
1557787021296614346,6.31528813665,6.31528813665
1557787021396522108,6.1419212492,6.31740471346
1557787021496521218,6.20850600133,6.20850600133
1557787021596559808,6.41414105002,6.2359704653
1557787021696550477,6.37832905871,6.37832905871
1557787021796643597,6.22855206511,6.22855206511
1557787021896718330,6.2477816649,6.2477816649
1557787021996673917,6.17191462084,6.17191462084
1557787022096821296,6.33006247456,6.15897970498
1557787022196605736,6.27899951387,6.10458286071
1557787022296735388,6.21482246069,6.21482246069
1557787022396518105,6.31370175764,6.31370175764
1557787022496523597,6.20167800993,6.37886881022
1557787022596549706,6.33075650093,6.14987774376
1557787022696526358,6.48745273585,6.31211617542
1557787022796538926,6.48202588183,6.30683599313
1557787022896915039,6.28335538027,6.11353496459
1557787022996511449,6.1553307742,6.1553307742
1557787023096536570,6.30051220798,6.30051220798
1557787023196503544,6.34825503857,6.34825503857
1557787023296503567,6.48853889368,6.31317297763
1557787023396518612,6.48853889368,6.31317297763
1557787023496573848,6.45073000805,6.27638595377
1557787023596620069,6.47715007522,6.30209196508
1557787023704630790,6.28737716204,6.28737716204
1557787023796500312,6.49016957187,6.31475958345
1557787023896498439,6.31634649414,6.31634649414
1557787023996632905,6.42292772793,6.24933508663
1557787024096497906,6.20798057646,6.38535145007
1557787024196498762,6.23915483869,6.23915483869
1557787024296501214,6.39672745245,6.21904057877
1557787024396627521,6.24819574332,6.42671562171
1557787024496719955,6.37641937782,6.20408371896
1557787024596688387,6.32907154025,6.32907154025
1557787024696809674,6.32437932459,6.32437932459
1557787024796499273,6.48636643596,6.31105923499
1557787024896717957,6.37012939698,6.1979637376
1557787024996495440,6.31475958345,6.13934959502
1557787025096499685,6.31899344726,6.14346585151
1557787025196525380,6.16852344035,6.16852344035
1557787025296499765,6.31211617542,6.136779615
1557787025396503472,6.30789151935,6.30789151935
1557787025496897141,6.44742531214,6.27775622498
1557787025596517599,6.30261889039,6.47769163734
1557787025696479116,6.31740471346,6.31740471346
1557787025796482791,6.38805606242,6.21061006069
1557787025896501941,6.29893275261,6.29893275261
1557787025996478851,6.48473817346,6.30947497958
1557787026096591765,-3.68422674145,-3.85966611009
1557787026196481930,-5.6135894548,-5.96443879572
1557787026296477084,-5.96443879572,-6.13986346619
