%time,field.left_wheels,field.right_wheels
1558097624875432885,0.0,0.0
1558097624955437109,0.0,0.0
1558097625035349707,0.0,0.0
1558097625139381368,0.0,0.0
1558097625239392900,0.0,0.0
1558097625339293515,0.0,0.0
1558097625439368492,0.0,0.0
1558097625539505707,0.0,0.0
1558097625639473137,0.0,0.0
1558097625739293914,0.0,0.0
1558097625839356113,0.0,0.0
1558097625939494108,0.0,0.0
1558097626039278152,0.0,0.0
1558097626139351520,0.0,0.0
1558097626239412753,0.0,0.0
1558097626339285538,0.0,0.0
1558097626439288958,0.0,0.0
1558097626539299738,0.0,0.0
1558097626639293757,0.0,0.0
1558097626739294915,0.0,0.0
1558097626839359399,0.0,0.0
1558097626939291455,0.0,0.0
1558097627039611606,0.0,0.0
1558097627139290460,0.0,0.0
1558097627239283892,0.0,0.0
1558097627339284334,0.0,0.0
1558097627439278786,0.0,0.0
1558097627539279829,0.0,0.0
1558097627639313076,0.0,0.0
1558097627739381316,0.0,0.0
1558097627839387738,0.0,0.0
1558097627939288513,0.0,0.0
1558097628039354359,0.0,0.0
1558097628139502065,0.0,0.0
1558097628239467741,0.0,0.0
1558097628339290262,0.0,0.0
1558097628439351683,0.0,0.0
1558097628539488899,0.0,0.0
1558097628639280353,0.0,0.0
1558097628739348766,0.0,0.0
1558097628839376664,0.0,0.0
1558097628939323718,0.0,0.0
1558097629039311343,0.0,0.0
1558097629139285690,0.0,0.0
1558097629239282833,0.0,0.0
1558097629339282991,0.0,0.0
1558097629439348078,0.0,0.0
1558097629539285052,0.0,0.0
1558097629639603372,-4.0,-4.0
1558097629739274789,-4.0,-4.0
1558097629839275880,-4.0,-4.0
1558097629939305988,-4.0,-4.0
1558097630039306069,-4.0,-4.0
1558097630139317554,-4.0,-4.0
1558097630239302620,-4.0,-4.0
1558097630339396793,-4.0,-4.0
1558097630439427649,-4.0,-4.0
1558097630539307527,-4.0,-4.0
1558097630639384903,-4.0,-4.0
1558097630739519081,-4.0,-4.0
1558097630839483994,-4.0,-4.0
1558097630939295345,-4.0,-4.0
1558097631039367613,-4.0,-4.0
1558097631139511406,-4.0,-4.0
1558097631239306917,-4.0,-4.0
1558097631339367617,-4.0,-4.0
1558097631439400425,-4.0,-4.0
1558097631539305242,-4.0,-4.0
1558097631639305705,-4.0,-4.0
1558097631739305930,-4.0,-4.0
1558097631839329070,-4.0,-4.0
1558097631939318113,-4.0,-4.0
1558097632039366786,-4.0,-4.0
1558097632139305714,-4.0,-4.0
1558097632239617715,-4.0,-4.0
1558097632339294972,-4.0,-4.0
1558097632439299806,-4.0,-4.0
1558097632539290859,-4.0,-4.0
1558097632639406405,-4.0,-4.0
1558097632739528870,-4.0,-4.0
1558097632839290517,-4.0,-4.0
1558097632939386072,-4.0,-4.0
1558097633039391560,-4.0,-4.0
1558097633139301837,-4.0,-4.0
1558097633239586893,-4.0,-4.0
1558097633339288050,-4.0,-4.0
1558097633439482205,-4.0,-4.0
1558097633539293878,-4.0,-4.0
1558097633639364570,-4.0,-4.0
1558097633739518228,-4.0,-4.0
1558097633839282127,-4.0,-4.0
1558097633939359719,-4.0,-4.0
1558097634039387253,-4.0,-4.0
1558097634139292715,-4.0,-4.0
1558097634239285501,-4.0,-4.0
1558097634339296503,-4.0,-4.0
1558097634439293043,-4.0,-4.0
1558097634539292302,-4.0,-4.0
1558097634639382772,-4.0,-4.0
1558097634739290093,4.0,4.0
1558097634839600615,4.0,4.0
1558097634939284015,4.0,4.0
1558097635039276061,4.0,4.0
1558097635139289810,4.0,4.0
1558097635239282165,4.0,4.0
1558097635339278845,4.0,4.0
1558097635439277710,4.0,4.0
1558097635539387719,4.0,4.0
1558097635639502739,4.0,4.0
1558097635739285085,4.0,4.0
1558097635839553697,4.0,4.0
1558097635939274635,4.0,4.0
1558097636039483285,4.0,4.0
1558097636139274958,4.0,4.0
1558097636239338386,4.0,4.0
1558097636339486326,4.0,4.0
1558097636439274638,4.0,4.0
1558097636539341558,4.0,4.0
1558097636639378663,4.0,4.0
1558097636739282077,4.0,4.0
1558097636839275071,4.0,4.0
1558097636939278352,4.0,4.0
1558097637039366022,4.0,4.0
1558097637139279090,4.0,4.0
1558097637239346657,4.0,4.0
1558097637339286935,4.0,4.0
1558097637439632217,4.0,4.0
1558097637539269389,4.0,4.0
1558097637639273733,4.0,4.0
1558097637739272013,4.0,4.0
1558097637839274859,4.0,4.0
1558097637939278120,4.0,4.0
1558097638039264546,4.0,4.0
1558097638139354896,4.0,4.0
1558097638239361019,4.0,4.0
1558097638339276380,4.0,4.0
1558097638439536742,4.0,4.0
1558097638539262004,4.0,4.0
1558097638639447681,4.0,4.0
1558097638739266716,4.0,4.0
1558097638839361195,4.0,4.0
