%time,field.left_wheels,field.right_wheels
1558097624720685061,0.0,0.0
1558097624803846431,0.0,0.0
1558097624883781271,0.0,0.0
1558097624963884769,0.0,0.0
1558097625067242382,0.0,0.0
1558097625167545945,0.0,0.0
1558097625267156566,1.57433870592,2.1028064257
1558097625367275805,3.1494663763,3.68268435067
1558097625467149974,5.25174309982,5.26229949749
1558097625567218510,6.51444845492,6.27220923384
1558097625667188023,6.4525652955,6.3163464187
1558097625767216795,5.78852939241,5.9270252637
1558097625867292882,5.11951871324,5.27157110496
1558097625967317078,4.8518807562,4.61433458996
1558097626067226324,4.73369074572,3.87338610304
1558097626167294489,4.18879020104,4.35425197505
1558097626267415327,3.50736024549,4.19718476954
1558097626367416632,3.7371315348,4.02188228517
1558097626467206201,3.80898064652,3.76883455013
1558097626567398417,3.96947701586,3.72952592216
1558097626667429071,4.27427586767,3.48236731591
1558097626767174647,4.24073940501,4.28411188954
1558097626867237227,3.56796469079,4.7963248855
1558097626967336655,3.67437743902,4.05301441703
1558097627067300999,4.19298321599,4.21513499371
1558097627167192509,4.19823654913,4.20878211505
1558097627267192127,4.20139447986,4.21089761247
1558097627367189279,4.30613244618,4.21195615887
1558097627467186301,4.12993884831,3.75051583525
1558097627567259760,4.02547125173,4.14014371139
1558097627667185172,3.86865874454,4.02878988733
1558097627767524466,3.6725365546,3.87134048059
1558097627867132726,4.16898760275,4.23966639676
1558097627967140746,4.19823654913,4.20983959799
1558097628067143011,4.19823654913,4.20878211505
1558097628167174679,3.67806474995,3.68360964824
1558097628267184628,3.7649630441,3.68453541091
1558097628367233711,4.21301546853,3.74381164454
1558097628467282874,4.09461431258,3.69381869489
1558097628567297381,3.74763968662,4.10263506366
1558097628667208103,3.79812595597,3.75435759283
1558097628767284262,4.21195613508,3.81096085261
1558097628867401417,4.00841170913,3.66794255692
1558097628967379770,3.73427561278,4.02091711063
1558097629067189931,3.83789697989,3.74476791826
1558097629167251425,4.46883756679,3.84595131165
1558097629267446793,4.2461131625,3.9988452506
1558097629367149146,4.25257887174,3.74476791826
1558097629467206679,3.0679617265,4.25581955804
1558097629567288162,3.1494663763,4.59857448158
1558097629667240580,4.19928850174,4.20878211505
1558097629767207312,4.72656878984,4.18042954092
1558097629867209218,1.57552292995,2.10386258162
1558097629967213322,0.0,0.0
1558097630067216473,-1.03273921211,-1.07239897593
1558097630167283803,-1.73712620474,-2.0700718557
1558097630267223880,-2.41178627351,-2.88166648321
1558097630367566756,-3.66794261719,-3.87313028202
1558097630467181775,-4.19823654913,-3.68360964824
1558097630567210818,-3.67069751385,-4.21195615887
1558097630667190102,-4.17002543007,-4.23859387807
1558097630767200850,-3.67714244332,-4.20878211505
1558097630867219077,-3.76980360938,-3.68546163901
1558097630967225805,-3.68638853496,-4.31722793095
1558097631067361853,-4.09361367768,-4.21619567187
1558097631167366255,-3.94637037546,-4.07569000243
1558097631267238298,-4.44145993805,-3.96344049743
1558097631367608780,-4.40925297828,-3.44068678714
1558097631467201330,-4.51486402021,-3.86419778598
1558097631567393177,-3.76399642238,-3.51999193277
1558097631667202024,-3.83187827706,-3.74285585908
1558097631767277506,-3.9713583066,-3.84191991614
1558097631867414184,-3.73522724938,-3.98173992395
1558097631967165463,-3.70970826191,-3.7476396728
1558097632067235230,-3.5558492684,-4.28301676892
1558097632167280725,-3.67345698049,-4.09361387735
1558097632267162260,-4.19928850174,-4.20772516323
1558097632367203946,-4.19928850174,-4.20878211505
1558097632467198650,-3.67714244332,-4.20878211505
1558097632567230009,-4.27645775046,-4.17834453865
1558097632667203384,-4.12993884831,-3.74955662404
1558097632767274666,-4.01885036057,-4.13912094862
1558097632867209618,-4.33921655919,-4.61193548032
1558097632967558896,-4.23323955269,-4.35324637413
1558097633067164735,-4.19823654913,-3.68360964824
1558097633167155257,-4.72419956445,-3.15579387243
1558097633267197111,-3.67437743902,-3.68268435067
1558097633367208587,-3.67806474995,-4.20983959799
1558097633467207842,-3.73999138421,-4.23859387807
1558097633567237527,-3.67991118202,-4.31834061856
1558097633667302287,-4.09461431258,-4.22150707987
1558097633767325958,-3.93789057824,-4.10263506366
1558097633867224007,-3.92944702236,-3.95702197031
1558097633967613899,-3.85911191948,-3.91201531637
1558097634067199813,-4.00937111942,-4.42205373449
1558097634167398590,-4.8036586214,-3.51661463181
1558097634267242317,-3.82587842208,-3.71911882293
1558097634367264668,-3.49565261879,-4.39306806502
1558097634467426260,-3.73903776288,-4.4752034188
1558097634567169904,-4.29289314786,-3.7476396728
1558097634667240465,-4.08762198112,-3.72100670051
1558097634767315369,-4.19928850174,-4.08861922889
1558097634867176524,-4.17210215185,-4.23645046776
1558097634967337444,-1.57552292995,-1.57829329314
1558097635067181873,0.525437821421,0.0
1558097635167187756,1.06911443762,1.0524598995
1558097635267201217,1.5935038341,2.14315190586
1558097635367300257,2.29774565887,3.08377207362
1558097635467179335,3.3827334115,3.45324847486
1558097635567523889,3.67806474995,3.86955233256
1558097635667137859,3.67345698049,4.20878211505
1558097635767181147,4.08961695362,4.35651627665
1558097635867145122,4.20034147199,4.20878211505
1558097635967181179,4.20350257137,3.68268435067
1558097636067180321,4.30060605356,3.68360964824
1558097636167204150,4.21407484142,4.30834703008
1558097636267422133,4.07172831131,4.12079724545
1558097636367295416,3.94849609608,4.1056509679
1558097636467196705,3.92576428849,3.95809028078
1558097636567476192,3.85708132688,3.93221347102
1558097636667189732,4.01033054211,3.86827609499
1558097636767393435,4.26883114215,3.99598416408
1558097636867172604,3.83187827706,3.74381164454
1558097636967239473,3.97512712117,3.83689254122
1558097637067456613,4.27973500905,3.97418444023
1558097637167191587,3.74859770131,3.74572468063
1558097637267223094,4.08363694257,3.72289649568
1558097637367281059,4.19928850174,4.08762176141
1558097637467137044,4.20139447986,3.68175951783
1558097637567197811,3.67898794926,4.20455749059
1558097637667204299,3.65605165324,4.24073945836
1558097637767183506,4.27645775046,3.68453541091
1558097637867186171,4.12485494578,4.28959590374
1558097637967264005,4.01664823407,4.13503494571
1558097638067189783,3.85619388011,4.03655462555
1558097638167565248,3.80799129336,3.85176128736
1558097638267142336,3.67622016988,4.20878211505
1558097638367153470,4.20034147199,3.68268435067
1558097638467149901,4.19928850174,3.68360964824
1558097638567184844,3.70408460861,4.20983959799
