%time,field.left_wheels,field.right_wheels
1558130877363434019,0.0,0.0
1558130877443124225,0.0,0.0
1558130877531017310,0.0,0.0
1558130877631091072,0.0,0.0
1558130877731069792,0.0,0.0
1558130877831108404,0.525306063332,0.0
1558130877931055005,1.57908668514,1.57829329314
1558130878031068844,2.17825816739,2.10544880623
1558130878131080644,3.17974993878,3.27761377152
1558130878231221979,5.12860783175,4.64847270037
1558130878331164233,5.2556967633,5.77675660435
1558130878431910685,6.29735482369,6.14320821286
1558130878531096468,6.29735482369,6.31158774485
1558130878631109302,6.10462543316,5.97003037056
1558130878731110940,5.76968388548,5.25965645404
1558130878831127103,5.23991802456,5.30360901494
1558130878931133626,4.69361492083,4.76600677623
1558130879031193215,4.19718463383,4.70298323353
1558130879131276905,4.19823654913,4.59857448158
1558130879231154696,3.67622016988,3.68360964824
1558130879331163384,3.72762947511,3.68453541091
1558130879431173551,3.1637389913,3.20325546775
1558130879531243509,3.69847797961,3.70127907094
1558130879631270625,3.62262588229,3.18055459377
1558130879731297404,4.14834426282,4.14834404556
1558130879831248973,3.74859770131,4.1565769288
1558130879931205760,4.11978401601,4.28520757033
1558130880031290173,4.2461131625,4.13299496793
1558130880131218760,4.17522087355,4.25906497204
1558130880231276970,3.69754497403,4.18460579421
1558130880331259735,4.14526507101,3.70876964331
1558130880431297984,3.67622016988,3.62980103986
1558130880531247377,3.67898794926,3.68268435067
1558130880631255941,3.26738725109,3.68453541091
1558130880731265432,3.60658461228,3.81989744659
1558130880831428488,3.8382318677,3.61815557749
1558130880931354832,3.94920545381,3.84057799511
1558130881032071223,3.66610817329,3.52147154266
1558130881131280918,3.6725365546,3.68175951783
1558130881231288038,3.67345698049,3.68175951783
1558130881331296824,4.20034147199,4.20878211505
1558130881431308599,4.75638559903,4.21089761247
1558130881531316444,4.69361492083,4.76600677623
1558130881631346971,4.19718463383,4.70415692538
1558130881731328012,4.72183271306,4.73606954774
1558130881831334093,4.72538415599,4.20878211505
1558130881931342627,4.25906480629,4.20983959799
1558130882031362844,3.68824290381,3.73713137905
1558130882131416049,3.7031487725,4.22150707987
1558130882231435149,3.61994222709,3.71346666667
1558130882331473230,3.10971833963,3.11125803417
1558130882431423068,2.13387177873,2.08242127765
1558130882531386874,0.516369606056,0.534830234934
1558130882631471345,0.0,0.0
1558130882731393114,-0.52216284683,-0.532518484617
1558130882831455860,-1.04955913728,-0.527157110496
1558130882931442164,-1.03554773096,-1.05964846952
1558130883031489518,-2.10122425333,-2.07365861386
1558130883131430775,-2.62718910711,-2.62982822702
1558130883231465222,-3.26484055416,-3.15976142821
1558130883331452229,-3.60924807756,-3.27164051028
1558130883431595496,-4.48615866855,-4.13401470516
1558130883531541829,-3.95334665729,-3.83588864469
1558130883632270296,-4.72183271306,-4.38341398075
1558130883731461898,-4.19823654913,-4.73487987943
1558130883831468801,-4.72183271306,-4.20878211505
1558130883931474632,-4.19823654913,-4.20878211505
1558130884031490409,-4.22789831025,-4.20878211505
1558130884131496872,-3.65058938287,-4.23217014398
1558130884231531615,-4.19508287297,-3.65970204693
1558130884331509640,-4.19718463383,-4.21089761247
1558130884431529858,-4.19823654913,-4.20561285141
1558130884531665806,-4.39191660276,-4.21301523762
1558130884631530969,-4.21089782703,-4.27318581994
1558130884731597107,-4.23537973062,-4.22044372796
1558130884831615521,-3.61904883606,-3.71440749937
1558130884931647284,-3.63159951041,-4.14834404556
1558130885031610293,-4.14731719805,-3.74190056151
1558130885131557774,-4.12282498213,-4.28520757033
1558130885231636540,-3.71723264398,-4.13605568995
1558130885331568305,-3.65422908112,-3.72952592216
1558130885431622132,-3.7031487725,-3.66244476643
1558130885531747472,-3.62441705837,-4.11775905628
1558130885631661923,-3.67806474995,-4.15039920733
1558130885731613241,-3.67991118202,-3.68175951783
1558130885831613639,-4.36446003038,-3.68638833291
1558130885931632130,-4.12485494578,-4.35764931079
1558130886031768010,-3.83471804923,-4.13605568995
1558130886131714775,-3.93518918632,-4.50269238329
1558130886232460529,-4.72301611777,-3.9516890566
1558130886331635098,-4.72183271306,-4.20772516323
1558130886431643509,-4.19718463383,-4.20878211505
1558130886531652263,-3.67345698049,-4.20878211505
1558130886631665297,-3.69754497403,-3.68360964824
1558130886731668666,-3.64695692785,-3.70783166414
1558130886831712929,-3.12363181376,-3.68638833291
1558130886931685308,-3.67345698049,-3.68175951783
1558130887031693266,-3.67437743902,-4.20878211505
1558130887131701239,-3.72668170551,-3.68268435067
1558130887231713193,-3.6854616182,-4.27318581994
1558130887331779203,-3.7031487725,-3.69568096799
1558130887431796408,-3.61726296066,-3.18216540896
1558130887531832532,-2.07314555976,-2.59271502847
1558130887631784169,-1.06966046549,-1.5594900968
1558130887731745341,0.514340692366,0.0
1558130887831824375,1.0623358894,1.03223026121
1558130887931751805,0.52229309332,1.06530783316
1558130888031822856,1.58786592078,1.0471976
1558130888131806148,2.06853841548,2.12198095238
1558130888231846540,2.62653031666,2.58950939664
1558130888331791056,3.15579383048,3.15737969849
1558130888431827966,3.27505103726,3.68546163901
1558130888531839935,4.11371505161,4.37471582245
1558130888631993279,4.46566129095,4.64618111905
1558130888731932911,4.3852495397,5.125470052
1558130888832816048,4.72419956445,4.67498928571
1558130888931843585,4.19718463383,4.20772516323
