%time,field.left_wheels,field.right_wheels
1558134020657006026,0.0,0.0
1558134020732975108,0.0,0.0
1558134020828920295,0.0,0.0
1558134020920800253,0.0,0.0
1558134021024855191,0.0,0.0
1558134021124869616,0.0,0.0
1558134021224625360,0.0,0.0
1558134021324706474,0.0,0.0
1558134021424712553,0.0,0.0
1558134021524913406,0.0,0.0
1558134021624641908,0.0,0.0
1558134021724667361,0.0,0.0
1558134021824662485,0.0,0.0
1558134021924659440,0.0,0.0
1558134022024678753,0.0,0.0
1558134022124733460,0.0,0.0
1558134022224749666,0.0,0.0
1558134022324731137,0.0,0.0
1558134022424714862,0.0,0.0
1558134022524749778,0.0,0.0
1558134022624788570,0.0,0.0
1558134022724998091,0.0,0.0
1558134022824744763,0.0,0.0
1558134022924857611,0.0,0.0
1558134023024821333,0.0,0.0
1558134023124960618,0.0,0.0
1558134023224754999,0.0,0.0
1558134023324813471,0.0,0.0
1558134023424773497,0.0,0.0
1558134023524775776,0.0,0.0
1558134023624913203,0.0,0.0
1558134023724920254,0.0,0.0
1558134023824811304,0.0,0.0
1558134023924920484,0.0,0.0
1558134024024909445,0.0,0.0
1558134024125130309,0.0,0.0
1558134024224831953,0.0,0.0
1558134024324847471,0.0,0.0
1558134024424847936,0.0,0.0
1558134024524846601,0.0,0.0
1558134024624861232,0.0,0.0
1558134024724916002,0.0,0.0
1558134024824944105,0.0,0.0
1558134024924978374,0.0,0.0
1558134025024889723,0.0,0.0
1558134025124897905,0.0,0.0
1558134025224989631,0.0,0.0
1558134025325364473,0.0,0.0
1558134025424954539,-4.0,-4.0
1558134025525060367,-4.0,-4.0
1558134025625031605,-4.0,-4.0
1558134025725166015,-4.0,-4.0
1558134025824965756,-4.0,-4.0
1558134025925034449,-4.0,-4.0
1558134026024978820,-4.0,-4.0
1558134026124990151,-4.0,-4.0
1558134026225120718,-4.0,-4.0
1558134026325127137,-4.0,-4.0
1558134026425030681,-4.0,-4.0
1558134026525129374,-4.0,-4.0
1558134026625118165,-4.0,-4.0
1558134026725341256,-4.0,-4.0
1558134026829438993,-4.0,-4.0
1558134026925048768,-4.0,-4.0
1558134027025054286,-4.0,-4.0
1558134027125067443,-4.0,-4.0
1558134027225077768,-4.0,-4.0
1558134027325127629,-4.0,-4.0
1558134027425141956,-4.0,-4.0
1558134027525099665,-4.0,-4.0
1558134027625110569,-4.0,-4.0
1558134027725182076,-4.0,-4.0
1558134027825125831,-4.0,-4.0
1558134027925400099,-4.0,-4.0
1558134028025133607,-4.0,-4.0
1558134028125274608,-4.0,-4.0
1558134028225220525,-4.0,-4.0
1558134028325355397,-4.0,-4.0
1558134028425162502,-4.0,-4.0
1558134028525346496,-4.0,-4.0
1558134028625161133,-4.0,-4.0
1558134028725177720,-4.0,-4.0
1558134028825255361,-4.0,-4.0
1558134028925314163,-4.0,-4.0
1558134029025207670,-4.0,-4.0
1558134029125288083,-4.0,-4.0
1558134029225344435,-4.0,-4.0
1558134029325490411,-4.0,-4.0
1558134029425229375,-4.0,-4.0
1558134029525274266,-4.0,-4.0
1558134029625232942,-4.0,-4.0
1558134029725241784,-4.0,-4.0
1558134029825250266,-4.0,-4.0
1558134029925318808,-4.0,-4.0
1558134030025323010,-4.0,-4.0
1558134030125279822,-4.0,-4.0
1558134030225288384,-4.0,-4.0
1558134030325347840,-4.0,-4.0
1558134030425353187,-4.0,-4.0
1558134030525527329,4.0,4.0
1558134030625315687,4.0,4.0
1558134030725421694,4.0,4.0
1558134030825398776,4.0,4.0
1558134030925557566,4.0,4.0
1558134031025337726,4.0,4.0
1558134031125390474,4.0,4.0
1558134031225346971,4.0,4.0
1558134031325372355,4.0,4.0
1558134031425563477,4.0,4.0
1558134031525489781,4.0,4.0
1558134031625386364,4.0,4.0
1558134031725466203,4.0,4.0
1558134031833456892,4.0,4.0
1558134031925685140,4.0,4.0
1558134032025409382,4.0,4.0
1558134032125414711,4.0,4.0
1558134032225416763,4.0,4.0
1558134032325447091,4.0,4.0
1558134032425441023,4.0,4.0
1558134032525495268,4.0,4.0
1558134032625507244,4.0,4.0
1558134032725457651,4.0,4.0
1558134032829506176,4.0,4.0
1558134032925528496,4.0,4.0
1558134033025613455,4.0,4.0
1558134033125581565,4.0,4.0
1558134033225488978,4.0,4.0
1558134033325600400,4.0,4.0
1558134033425571990,4.0,4.0
1558134033525704483,4.0,4.0
1558134033625508198,4.0,4.0
1558134033725594498,4.0,4.0
1558134033825524174,4.0,4.0
1558134033925536204,4.0,4.0
1558134034025663024,4.0,4.0
1558134034125715041,4.0,4.0
1558134034225565136,4.0,4.0
1558134034325646556,4.0,4.0
1558134034425657849,4.0,4.0
1558134034525863390,4.0,4.0
1558134034625579968,4.0,4.0
1558134034725597886,4.0,4.0
1558134034825596924,4.0,4.0
1558134034925668673,4.0,4.0
1558134035025614687,4.0,4.0
1558134035125647119,4.0,4.0
1558134035225675533,4.0,4.0
1558134035325638061,4.0,4.0
1558134035425691780,4.0,4.0
1558134035525751803,4.0,4.0
1558134035625794634,-4.0,-4.0
1558134035725670131,-4.0,-4.0
1558134035825681027,-4.0,-4.0
1558134035925793670,-4.0,-4.0
1558134036025760684,-4.0,-4.0
1558134036125897693,-4.0,-4.0
1558134036225692093,-4.0,-4.0
1558134036325745774,-4.0,-4.0
1558134036425748598,-4.0,-4.0
1558134036525801790,-4.0,-4.0
1558134036625799091,-4.0,-4.0
1558134036725868260,-4.0,-4.0
1558134036825751655,-4.0,-4.0
1558134036925835558,-4.0,-4.0
1558134037025847905,-4.0,-4.0
1558134037126127986,-4.0,-4.0
1558134037225759349,-4.0,-4.0
1558134037325818418,-4.0,-4.0
1558134037425771160,-4.0,-4.0
1558134037525787521,-4.0,-4.0
1558134037625790209,-4.0,-4.0
1558134037729797625,-4.0,-4.0
1558134037829805494,-4.0,-4.0
1558134037925881912,-4.0,-4.0
1558134038029874495,-4.0,-4.0
1558134038129902908,-4.0,-4.0
1558134038229935976,-4.0,-4.0
1558134038329893330,-4.0,-4.0
1558134038429877236,-4.0,-4.0
1558134038529879056,-4.0,-4.0
1558134038629971625,-4.0,-4.0
1558134038729995433,-4.0,-4.0
1558134038834021934,-4.0,-4.0
1558134038926342989,-4.0,-4.0
1558134039029889976,-4.0,-4.0
1558134039129934919,-4.0,-4.0
1558134039230072593,-4.0,-4.0
1558134039329909988,-4.0,-4.0
1558134039425927619,-4.0,-4.0
1558134039529939647,-4.0,-4.0
