%time,field.left_wheels,field.right_wheels
1558134020665480854,0.0,0.0
1558134020753797994,0.0,0.519443253968
1558134020853641858,0.528887692072,0.532518484617
1558134020954094485,1.57868983429,0.528087544125
1558134021053309502,1.63326895539,1.58226784185
1558134021153272951,2.49332770795,2.17995857403
1558134021252744496,3.19024405507,2.99698812306
1558134021352543548,3.72857728534,3.76109964084
1558134021452577890,4.72775456999,4.67498928571
1558134021552538062,4.86440183434,4.73845067873
1558134021652576957,4.54863834524,4.49923780881
1558134021752711573,4.59521127196,4.70885755683
1558134021852727998,4.67035599783,4.7053312032
1558134021952573542,4.73250253963,4.28849797799
1558134022052648689,4.43375549746,4.22150707987
1558134022152668750,4.40307353871,4.43845340397
1558134022252879430,4.22789831025,4.41131682659
1558134022352735921,4.20034147199,4.06087290354
1558134022452556833,4.19823654913,4.20878211505
1558134022552565287,4.20772510731,4.20878211505
1558134022652577975,3.7181756129,3.68268435067
1558134022752593614,3.65149841578,3.7553192623
1558134022852660683,3.62262588229,3.6882431195
1558134022952670448,3.67345698049,4.15245640644
1558134023052627540,3.67437743902,3.68360964824
1558134023152647470,3.19024405507,3.68453541091
1558134023252701827,3.88673543867,3.70408448711
1558134023352728742,3.44230245844,3.89603146426
1558134023452953206,3.77271392767,3.45446899152
1558134023552689445,4.16484241835,4.32168212535
1558134023652806039,3.83488526695,4.17522093197
1558134023752769464,3.9845805273,3.81691392866
1558134023852925468,4.24826587884,4.49441030043
1558134023952686083,4.14731719805,3.72762939232
1558134024052753827,4.20350257137,4.15760833747
1558134024152767867,4.301710197,4.24718925222
1558134024252749022,3.66244478472,4.34071544041
1558134024352884584,4.08164733565,4.19718476954
1558134024452888608,3.73999138421,4.60081933122
1558134024552766157,3.67622016988,3.75628142455
1558134024652868273,3.32707746082,3.6651916
1558134024752846181,3.91841949108,3.88467578166
1558134024853061086,4.20139447986,3.43022143191
1558134024952749045,3.67437743902,4.21089761247
1558134025052764988,4.228965679,4.21089761247
1558134025152804665,4.72538415599,4.20878211505
1558134025252820067,4.25257887174,3.68453541091
1558134025352836612,4.72775456999,4.26665688821
1558134025452894347,4.13912085677,4.21831863041
1558134025552913914,4.17002543007,4.17626161515
1558134025652861425,3.15104585989,2.62982822702
1558134025752881534,1.06449567389,1.57908660467
1558134025852911696,0.0,0.0
1558134025952974715,-0.983977061166,-0.556132554434
1558134026053214840,-1.07875106943,-0.978918064968
1558134026152899183,-1.56337035103,-1.62021289324
1558134026253011184,-2.19538283622,-2.60951308248
1558134026352993862,-2.99984989307,-2.72282267291
1558134026453128133,-3.20325560125,-3.50233311037
1558134026552908867,-3.63159951041,-4.25906497204
1558134026652963070,-4.20139447986,-4.15760833747
1558134026752926199,-4.32614560802,-4.20983959799
1558134026852955679,-4.78172394131,-4.81839386503
1558134026953041347,-5.07363206851,-4.81593173224
1558134027053079015,-4.28082820556,-4.60644105572
