%time,field.left_wheels,field.right_wheels
1558140427308879526,0.0,0.0
1558140427424553420,0.0,0.0
1558140427544557471,0.0,0.0
1558140427684537695,0.0,0.0
1558140427836535233,0.0,0.0
1558140427988761657,0.0,0.0
1558140428140540704,0.0,0.0
1558140428292540476,0.0,0.0
1558140428444564232,0.0,0.0
1558140428596405295,0.0,0.0
1558140428748565692,0.0,0.0
1558140428900499376,0.0,0.0
1558140429052417075,0.0,0.0
1558140429204430073,0.0,0.0
1558140429356425519,0.0,0.0
1558140429508459328,0.0,0.0
1558140429660438749,0.0,0.0
1558140429812456332,0.0,0.0
1558140429964449389,0.0,0.0
1558140430116433070,0.0,0.0
1558140430268540059,0.0,0.0
1558140430420442187,0.0,0.0
1558140430572936423,0.0,0.0
1558140430724469234,0.0,0.0
1558140430876533069,0.0,0.0
1558140431028642000,0.0,0.0
1558140431180463010,0.0,0.0
1558140431332497825,0.0,0.0
1558140431484468728,0.0,0.0
1558140431636464179,0.0,0.0
1558140431788499857,0.0,0.0
1558140431940474116,0.0,0.0
1558140432092703419,0.0,0.0
1558140432244490073,0.0,0.0
1558140432396475723,0.0,0.0
1558140432548651367,0.0,0.0
1558140432700493970,0.0,0.0
1558140432852718022,0.0,0.0
1558140433004494683,0.0,0.0
1558140433156500270,0.0,0.0
1558140433304521921,0.0,0.0
1558140433420708386,0.0,0.0
1558140433496690090,0.0,0.0
1558140433585022601,0.0,0.0
1558140433684560677,0.0,0.0
1558140433784543433,0.0,0.0
1558140433884573392,0.0,0.0
1558140433984543302,0.0,0.0
1558140434084544489,0.0,0.0
1558140434184594612,-2.0,-4.0
1558140434284619739,-2.0,-4.0
1558140434384622729,-2.0,-4.0
1558140434484646438,-2.0,-4.0
1558140434584625828,-2.0,-4.0
1558140434684561504,-2.0,-4.0
1558140434784562697,-2.0,-4.0
1558140434884605958,-2.0,-4.0
1558140434984563297,-2.0,-4.0
1558140435084659062,-2.0,-4.0
1558140435184586519,-2.0,-4.0
1558140435284566861,-2.0,-4.0
1558140435384612118,-2.0,-4.0
1558140435484618240,-2.0,-4.0
1558140435584736752,-2.0,-4.0
1558140435684640659,-2.0,-4.0
1558140435784782382,-2.0,-4.0
1558140435884580837,-2.0,-4.0
