%time,field.left_wheels,field.right_wheels
1558140427325227299,0.0,0.0
1558140427442320609,0.0,0.0
1558140427561596098,0.562631341431,0.517645872467
1558140427701504036,0.558282067287,0.528887676768
1558140427853536119,0.562027412154,1.0504803511
1558140428005377418,1.44660534413,1.55255389177
1558140428156904839,2.24780811879,2.3638772009
1558140428308991533,3.08949263397,3.41106710098
1558140428460910758,4.22200344786,4.46454149216
1558140428612354148,4.34457446791,4.73606954774
1558140428764375627,4.0789720248,4.49044247698
1558140428916293562,3.1504140235,3.67529867135
1558140429068584910,2.57507611527,3.03375654464
1558140429220299631,1.54249172916,2.64979149798
1558140429372287457,1.24684932069,2.36328445336
1558140429524422246,1.22157782432,2.65752467961
1558140429676321914,1.27980152399,2.88737275348
1558140429828528987,1.86003120032,2.86226204497
1558140429980340834,1.87389971663,3.41406114107
1558140430132315748,2.17809639591,3.41534591069
1558140430284366282,2.5086333183,3.70268124763
1558140430436325382,2.20032506911,3.4136330993
1558140430588396859,1.62331049605,3.50684410098
1558140430740330969,1.87697852433,3.41277733768
1558140430892352023,1.8916710957,3.41234961775
1558140431044348952,2.54328505212,3.43603452802
1558140431196343298,2.4668965736,3.44647311392
1558140431348455986,2.15631221122,3.44037624463
1558140431500422454,1.87138807675,3.64197401565
1558140431652977956,2.0353694915,3.69208226584
1558140431804361443,2.16490943095,3.9616554855
1558140431956343824,2.17357547936,3.41277733768
1558140432108561911,2.25134611369,3.86419778598
1558140432260353470,2.1784199629,3.93831365175
1558140432412436736,1.8611331229,3.66977882353
1558140432564386232,1.58163059536,3.9616554855
1558140432716358946,1.55462825023,3.41320516485
1558140432868414310,1.89996538636,3.19227008764
1558140433020363790,2.17389770443,3.15104593781
1558140433168475995,1.88797646358,3.38853207496
1558140433316430758,1.5304313388,3.92355788685
1558140433428378263,1.63816603182,3.17974979757
1558140433516420879,2.63181114189,3.72762939232
1558140433616494939,1.61521478607,3.69009977347
1558140433716528289,1.5430220771,3.77854804124
1558140433816628178,2.19538283622,3.60392487709
1558140433916543980,1.99846880272,3.81592045809
1558140434016682960,2.21219458073,4.00362284349
1558140434116478110,2.00372660211,3.87645859334
1558140434216684930,2.96320777945,3.51240210829
1558140434316471946,2.35961614968,3.59964800917
1558140434416958900,1.5579432867,3.30942808126
1558140434516449897,0.532789431354,2.60108693492
1558140434616419370,0.0,1.06612125223
1558140434716495457,0.0,0.0
1558140434816413749,0.0,0.0
1558140434916412212,-0.524911062717,0.0
1558140435016422996,0.0,-0.526097764381
1558140435116441387,-0.528487288781,0.0
1558140435216491814,-1.081536402,-1.05884489383
1558140435316482315,-1.575128052,-1.04510738523
1558140435416455502,-2.10017073599,-2.10439105752
1558140435516459269,-2.12359462394,-2.10491979899
1558140435616468297,-2.07622808813,-2.12899130877
1558140435716549262,-2.62324039614,-2.6927168938
1558140435816493561,-2.62850798716,-3.23458718147
1558140435916596311,-3.68453559865,-3.12596298507
1558140436016503007,-3.64877225131,-3.75243573074
1558140436116513092,-3.60835995665,-3.79812601036
1558140436216783157,-3.71252627804,-3.55240281076
1558140436316736232,-3.59773403063,-3.72195135821
1558140436416694764,-3.26314496059,-3.60303917424
1558140436516596698,-3.49481912818,-3.27164051028
1558140436616731703,-2.75868701456,-3.00558985889
1558140436716554560,-2.50465825264,-2.76816706318
1558140436816764474,-2.41359293351,-3.01207363375
1558140436916551767,-2.35696057467,-2.40045295129
1558140437017041957,-2.59335709869,-2.83665264108
1558140437116566955,-2.66326948953,-2.60108693492
1558140437216488807,-2.07212000376,-2.66530313057
1558140437316546197,-2.62455531359,-3.11357066402
1558140437416485640,-2.62455531359,-3.15658658628
1558140437516484151,-3.15025610399,-3.15658658628
1558140437616531959,-2.61995901228,-3.16135124528
1558140437716499073,-2.64310354937,-3.15817320935
1558140437816514916,-2.62521341999,-3.17894540855
1558140437916536189,-2.62455531359,-3.65878871974
1558140438016509226,-2.10017073599,-3.68268435067
1558140438117213378,-2.65449327993,-3.68268435067
1558140438216529926,-2.59399965029,-3.72573479034
1558140438316587791,-2.12359462394,-3.12130432191
1558140438416559853,-2.07571377681,-3.19267560976
1558140438516616851,-1.57631346426,-3.63881022586
1558140438616590711,-2.17317270106,-3.15817320935
1558140438716590080,-1.52578566299,-3.26568898129
1558140438816737366,-2.19999502029,-3.56189659864
1558140438916615779,-1.54188601313,-3.28360888424
1558140439016764289,-1.65173118924,-3.60747204724
1558140439116691703,-1.50315439092,-3.31304276298
1558140439216871731,-2.20578743872,-3.50736038278
1558140439316680534,-1.50207642115,-3.81790791667
1558140439416821067,-2.3935944404,-4.01513577762
1558140439516616719,-1.41195185474,-2.40596806433
1558140439617115491,-0.546554060297,-0.94897834164
1558140439716605805,0.0,0.0
1558140439816621249,0.0,0.0
1558140439916555700,0.0,0.0
1558140440016576797,0.0,0.0
1558140440116603744,0.0,0.544422978945
1558140440216571853,0.0,0.526097764381
1558140440316572132,1.05590880234,0.526494519859
1558140440416582259,1.04198769367,1.58866892541
1558140440516614508,1.04798360491,1.56766107784
1558140440616731085,2.10122425333,2.03240679282
1558140440716567346,2.65180448432,2.63114974874
1558140440816574658,2.61276860307,2.66191560752
1558140440916633380,3.18377784107,2.60108693492
1558140441016604860,3.11202851843,3.19348696315
1558140441116669665,3.67622016988,3.63790729529
1558140441216630341,3.2580687307,3.15817320935
1558140441316637079,3.04861005045,3.26568898129
1558140441416773076,3.27419790711,3.05528110868
1558140441516661504,3.08377202626,3.28360888424
1558140441616812849,3.30606970876,3.60835993109
1558140441716732275,3.50149664574,3.86419778598
1558140441816926810,3.28876504295,3.509879435
1558140441916720242,3.5065215537,3.26908720083
1558140442016860984,2.98857770603,3.51324380542
1558140442116654652,3.29974480453,3.59964800917
1558140442217142501,2.63181114189,3.30793465704
1558140442316634056,2.5901500047,2.63644914401
1558140442416643814,2.62324039614,3.11511432821
1558140442516581809,2.62455531359,3.15737969849
1558140442616589145,2.62324039614,3.15658658628
1558140442716586113,2.62455531359,2.6304888219
